,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Batsman
0,16,16.0,28.0,57.14,0.0,0.0,Sri Lanka,Melbourne,Aaron Finch 
1,4,4.0,15.0,26.66,0.0,0.0,Sri Lanka,Adelaide,Aaron Finch 
2,10.0,10.0,6.0,166.66,1.0,0.0,West Indies,Perth,Aaron Finch 
3,11,11.0,22.0,50.0,2.0,0.0,West Indies,Perth,Aaron Finch 
4,38,38.0,41.0,92.68,5.0,0.0,West Indies,Canberra,Aaron Finch 
5,25.0,25.0,30.0,83.33,5.0,0.0,West Indies,Sydney,Aaron Finch 
6,1,1.0,5.0,20.0,0.0,0.0,West Indies,Melbourne,Aaron Finch 
8,45.0,45.0,45.0,100.0,4.0,1.0,England,Manchester,Aaron Finch 
9,-1,0.0,0.0,0.0,0.0,0.0,England,Birmingham,Aaron Finch 
10,0.0,0.0,1.0,0.0,0.0,0.0,England,Cardiff,Aaron Finch 
11,26,26.0,32.0,81.25,6.0,0.0,England,Southampton,Aaron Finch 
12,72.0,72.0,79.0,91.13,8.0,3.0,India,Pune,Aaron Finch 
13,50.0,50.0,53.0,94.33,7.0,1.0,India,Jaipur,Aaron Finch 
14,38,38.0,44.0,86.36,6.0,0.0,India,Mohali,Aaron Finch 
15,5.0,5.0,10.0,50.0,1.0,0.0,India,Ranchi,Aaron Finch 
16,20.0,20.0,28.0,71.42,3.0,0.0,India,Nagpur,Aaron Finch 
17,5.0,5.0,5.0,100.0,1.0,0.0,India,Bengaluru,Aaron Finch 
18,121,121.0,128.0,94.53,12.0,0.0,England,Melbourne,Aaron Finch 
19,0.0,0.0,3.0,0.0,0.0,0.0,England,Brisbane,Aaron Finch 
20,22,22.0,20.0,110.0,3.0,0.0,England,Sydney,Aaron Finch 
21,108.0,108.0,111.0,97.29,8.0,4.0,England,Perth,Aaron Finch 
22,7,7.0,16.0,43.75,1.0,0.0,England,Adelaide,Aaron Finch 
24,102.0,102.0,116.0,87.93,9.0,1.0,South Africa,Harare,Aaron Finch 
26,16,16.0,36.0,44.44,1.0,0.0,South Africa,Harare,Aaron Finch 
27,54.0,54.0,87.0,62.06,5.0,0.0,South Africa,Harare,Aaron Finch 
28,0.0,0.0,1.0,0.0,0.0,0.0,Pakistan,Sharjah,Aaron Finch 
29,14,14.0,12.0,116.66,3.0,0.0,Pakistan,Dubai (DSC),Aaron Finch 
30,18,18.0,34.0,52.94,3.0,0.0,Pakistan,Abu Dhabi,Aaron Finch 
31,35.0,35.0,40.0,87.5,4.0,1.0,South Africa,Perth,Aaron Finch 
32,8,8.0,14.0,57.14,0.0,1.0,South Africa,Perth,Aaron Finch 
33,109.0,109.0,127.0,85.82,9.0,3.0,South Africa,Canberra,Aaron Finch 
34,22,22.0,37.0,59.45,2.0,0.0,South Africa,Melbourne,Aaron Finch 
35,76.0,76.0,67.0,113.43,11.0,0.0,South Africa,Sydney,Aaron Finch 
36,15,15.0,18.0,83.33,3.0,0.0,England,Sydney,Aaron Finch 
37,96.0,96.0,127.0,75.59,5.0,2.0,India,Melbourne,Aaron Finch 
38,32.0,32.0,32.0,100.0,3.0,0.0,England,Hobart,Aaron Finch 
39,-1,0.0,0.0,0.0,0.0,0.0,India,Sydney,Aaron Finch 
40,0.0,0.0,3.0,0.0,0.0,0.0,England,Perth,Aaron Finch 
41,135.0,135.0,128.0,105.46,12.0,3.0,England,Melbourne,Aaron Finch 
42,14,14.0,7.0,200.0,1.0,1.0,New Zealand,Auckland,Aaron Finch 
43,4,4.0,9.0,44.44,0.0,0.0,Afghanistan,Perth,Aaron Finch 
44,24.0,24.0,24.0,100.0,3.0,0.0,Sri Lanka,Sydney,Aaron Finch 
46,2,2.0,5.0,40.0,0.0,0.0,Pakistan,Adelaide,Aaron Finch 
47,81,81.0,116.0,69.82,7.0,1.0,India,Sydney,Aaron Finch 
48,0.0,0.0,5.0,0.0,0.0,0.0,New Zealand,Melbourne,Aaron Finch 
49,53,53.0,60.0,88.33,8.0,0.0,England,Manchester,Aaron Finch 
50,15,15.0,27.0,55.55,2.0,0.0,England,Leeds,Aaron Finch 
51,70*,70.0,64.0,109.37,11.0,1.0,England,Manchester,Aaron Finch 
52,8,8.0,11.0,72.72,1.0,0.0,India,Perth,Aaron Finch 
53,71,71.0,81.0,87.65,7.0,1.0,India,Brisbane,Aaron Finch 
54,21,21.0,23.0,91.3,3.0,0.0,India,Melbourne,Aaron Finch 
55,107,107.0,107.0,100.0,9.0,2.0,India,Canberra,Aaron Finch 
56,6,6.0,6.0,100.0,1.0,0.0,India,Sydney,Aaron Finch 
57,19,19.0,30.0,63.33,4.0,0.0,West Indies,Providence,Aaron Finch 
58,72.0,72.0,103.0,69.9,6.0,3.0,South Africa,Providence,Aaron Finch 
59,13,13.0,28.0,46.42,2.0,0.0,South Africa,Basseterre,Aaron Finch 
