,Overs,Mdns,Runs,Wkts,Econ,Ave,Opposition,Ground,Bowler
0,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,Melbourne,Aaron Finch 
1,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,Adelaide,Aaron Finch 
2,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,Perth,Aaron Finch 
3,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,Perth,Aaron Finch 
4,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,Canberra,Aaron Finch 
5,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,Sydney,Aaron Finch 
6,1.0,0.0,2.0,0.0,2.0,0.0,West Indies,Melbourne,Aaron Finch 
8,0.0,0.0,0.0,0.0,0.0,0.0,England,Manchester,Aaron Finch 
9,0.0,0.0,0.0,0.0,0.0,0.0,England,Birmingham,Aaron Finch 
10,0.0,0.0,0.0,0.0,0.0,0.0,England,Cardiff,Aaron Finch 
11,0.0,0.0,0.0,0.0,0.0,0.0,England,Southampton,Aaron Finch 
12,0.4,0.0,2.0,1.0,3.0,2.0,India,Pune,Aaron Finch 
13,0.0,0.0,0.0,0.0,0.0,0.0,India,Jaipur,Aaron Finch 
14,0.0,0.0,0.0,0.0,0.0,0.0,India,Mohali,Aaron Finch 
15,0.0,0.0,0.0,0.0,0.0,0.0,India,Ranchi,Aaron Finch 
16,4.0,0.0,20.0,1.0,5.0,20.0,India,Nagpur,Aaron Finch 
17,1.0,0.0,2.0,0.0,2.0,0.0,India,Bengaluru,Aaron Finch 
18,0.0,0.0,0.0,0.0,0.0,0.0,England,Melbourne,Aaron Finch 
19,0.0,0.0,0.0,0.0,0.0,0.0,England,Brisbane,Aaron Finch 
20,0.0,0.0,0.0,0.0,0.0,0.0,England,Sydney,Aaron Finch 
21,0.0,0.0,0.0,0.0,0.0,0.0,England,Perth,Aaron Finch 
22,0.0,0.0,0.0,0.0,0.0,0.0,England,Adelaide,Aaron Finch 
24,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Harare,Aaron Finch 
26,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Harare,Aaron Finch 
27,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Harare,Aaron Finch 
28,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,Sharjah,Aaron Finch 
29,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,Dubai (DSC),Aaron Finch 
30,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,Abu Dhabi,Aaron Finch 
31,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Perth,Aaron Finch 
32,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Perth,Aaron Finch 
33,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Canberra,Aaron Finch 
34,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Melbourne,Aaron Finch 
35,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Sydney,Aaron Finch 
36,0.0,0.0,0.0,0.0,0.0,0.0,England,Sydney,Aaron Finch 
37,0.0,0.0,0.0,0.0,0.0,0.0,India,Melbourne,Aaron Finch 
38,0.0,0.0,0.0,0.0,0.0,0.0,England,Hobart,Aaron Finch 
39,0.0,0.0,0.0,0.0,0.0,0.0,India,Sydney,Aaron Finch 
40,0.3,0.0,3.0,0.0,6.0,0.0,England,Perth,Aaron Finch 
41,0.0,0.0,0.0,0.0,0.0,0.0,England,Melbourne,Aaron Finch 
42,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,Auckland,Aaron Finch 
43,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,Perth,Aaron Finch 
44,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,Sydney,Aaron Finch 
46,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,Adelaide,Aaron Finch 
47,0.0,0.0,0.0,0.0,0.0,0.0,India,Sydney,Aaron Finch 
48,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,Melbourne,Aaron Finch 
49,0.0,0.0,0.0,0.0,0.0,0.0,England,Manchester,Aaron Finch 
50,0.0,0.0,0.0,0.0,0.0,0.0,England,Leeds,Aaron Finch 
51,0.0,0.0,0.0,0.0,0.0,0.0,England,Manchester,Aaron Finch 
52,0.0,0.0,0.0,0.0,0.0,0.0,India,Perth,Aaron Finch 
53,0.0,0.0,0.0,0.0,0.0,0.0,India,Brisbane,Aaron Finch 
54,0.0,0.0,0.0,0.0,0.0,0.0,India,Melbourne,Aaron Finch 
55,0.0,0.0,0.0,0.0,0.0,0.0,India,Canberra,Aaron Finch 
56,0.0,0.0,0.0,0.0,0.0,0.0,India,Sydney,Aaron Finch 
57,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,Providence,Aaron Finch 
58,3.0,0.0,11.0,0.0,3.66,0.0,South Africa,Providence,Aaron Finch 
59,2.0,0.0,13.0,0.0,6.5,0.0,South Africa,Basseterre,Aaron Finch 
60,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,Basseterre,Aaron Finch 
61,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Bridgetown,Aaron Finch 
62,3.0,0.0,16.0,0.0,5.33,0.0,West Indies,Bridgetown,Aaron Finch 
63,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,Bridgetown,Aaron Finch 
64,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,Colombo (RPS),Aaron Finch 
65,2.0,0.0,7.0,0.0,3.5,0.0,Sri Lanka,Colombo (RPS),Aaron Finch 
66,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,Dambulla,Aaron Finch 
67,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,Dambulla,Aaron Finch 
68,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,Pallekele,Aaron Finch 
69,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Centurion,Aaron Finch 
70,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Johannesburg,Aaron Finch 
71,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Durban,Aaron Finch 
72,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Port Elizabeth,Aaron Finch 
73,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Cape Town,Aaron Finch 
74,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,Sydney,Aaron Finch 
75,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,Canberra,Aaron Finch 
76,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,Melbourne,Aaron Finch 
77,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,Auckland,Aaron Finch 
78,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,Hamilton,Aaron Finch 
79,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,Birmingham,Aaron Finch 
80,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,The Oval,Aaron Finch 
81,0.0,0.0,0.0,0.0,0.0,0.0,England,Birmingham,Aaron Finch 
82,0.0,0.0,0.0,0.0,0.0,0.0,India,Indore,Aaron Finch 
83,0.1,0.0,1.0,0.0,6.0,0.0,India,Bengaluru,Aaron Finch 
84,3.0,0.0,17.0,0.0,5.66,0.0,India,Nagpur,Aaron Finch 
85,0.0,0.0,0.0,0.0,0.0,0.0,England,Melbourne,Aaron Finch 
86,3.0,0.0,17.0,0.0,5.66,0.0,England,Brisbane,Aaron Finch 
87,0.0,0.0,0.0,0.0,0.0,0.0,England,Sydney,Aaron Finch 
88,0.0,0.0,0.0,0.0,0.0,0.0,England,The Oval,Aaron Finch 
89,0.0,0.0,0.0,0.0,0.0,0.0,England,Cardiff,Aaron Finch 
90,1.0,0.0,7.0,0.0,7.0,0.0,England,Nottingham,Aaron Finch 
91,0.0,0.0,0.0,0.0,0.0,0.0,England,Chester-le-Street,Aaron Finch 
92,0.0,0.0,0.0,0.0,0.0,0.0,England,Manchester,Aaron Finch 
93,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Perth,Aaron Finch 
94,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Adelaide,Aaron Finch 
95,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,Hobart,Aaron Finch 
96,0.0,0.0,0.0,0.0,0.0,0.0,India,Sydney,Aaron Finch 
97,0.0,0.0,0.0,0.0,0.0,0.0,India,Adelaide,Aaron Finch 
98,0.0,0.0,0.0,0.0,0.0,0.0,India,Melbourne,Aaron Finch 
99,0.0,0.0,0.0,0.0,0.0,0.0,India,Hyderabad (Deccan),Aaron Finch 
100,0.0,0.0,0.0,0.0,0.0,0.0,India,Nagpur,Aaron Finch 
101,0.0,0.0,0.0,0.0,0.0,0.0,India,Ranchi,Aaron Finch 
102,3.0,0.0,22.0,0.0,7.33,0.0,India,Mohali,Aaron Finch 
103,0.0,0.0,0.0,0.0,0.0,0.0,India,Delhi,Aaron Finch 
104,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,Sharjah,Aaron Finch 
105,10.0,0.0,41.0,1.0,4.1,41.0,Pakistan,Sharjah,Aaron Finch 
106,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,Abu Dhabi,Aaron Finch 
107,2.0,0.0,19.0,0.0,9.5,0.0,Pakistan,Dubai (DSC),Aaron Finch 
108,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,Dubai (DSC),Aaron Finch 
109,0.0,0.0,0.0,0.0,0.0,0.0,Australia,Dubai (DSC),Abid Ali
110,0.0,0.0,0.0,0.0,0.0,0.0,Australia,Dubai (DSC),Abid Ali
111,9.0,0.0,56.0,0.0,6.22,0.0,West Indies,Dublin (Malahide),Abu Jayed
113,10.0,0.0,57.0,2.0,5.7,28.5,New Zealand,Wellington,Adam Zampa
114,10.0,0.0,45.0,1.0,4.5,45.0,New Zealand,Hamilton,Adam Zampa
